Template version 4 for Submission of New trait or modification of exiting trait																																									
This sheet is for submission of details for a many traits by rows. Use one row for each new or modified trait																																									
For modifications to the trait list with specified Trait ID you only need to give new /changed values. Eg a new scale or method.																																									
"You can find Trait IDs for existing traits in the lists on ""Trait Dictionaries for Fieldbook Development"" at http://mbp.generationcp.org and http://www.cropontology-curationtool.org/."																																									
																																									
																																									
	ibfieldbook 	Name of submitting scientist	Institution	Language of submission (only in ISO 2 letter codes)	Date of submission	Crop	Name of Trait	Abbreviated name 	Synonyms (separate by commas)	Trait ID for modification, Blank for New	Description of Trait	How is this trait routinely used?	Trait Class	Method ID for modification, Blank for New	Name of method	Describe how measured (method)	Growth stages	Bibliographic Reference	Comments	Scale ID for modification, Blank for New	Type of Measure (Continuous, Discrete or Categorical)	For Continuous: units of measurement	For Continuous: reporting units (if different from measurement)	For Continuous: minimum	For Continuous: maximum	For Discrete: Name of scale or units of measurement	For Categorical: Name of rating scale	For Categorical: Class 1 - value = meaning	For Categorical: Class 2 - value = meaning 	For Categorical: Class 3 - value = meaning	For Categorical: Class 4 - value = meaning	For Categorical: Class 5 - value = meaning	For Categorical: Class 6 - value = meaning	For Categorical: Class 7 - value = meaning	For Categorical: Class 8 - value = meaning	For Categorical: Class 9 - value = meaning	For Categorical: Class 10 - value = meaning	For Categorical: Class 11 - value = meaning	For Categorical: Class 12 - value = meaning		
	default	Daniel Debouck 	CIAT	FR	12/07/11	Haricot commun	Type de croissance	GH		CO_335:0000027	Description qualitative du type de croissance de la plante	CaractŽrisation du  gŽrmoplasme	Morphologie	CO_335:0000148	MŽthode pour dŽterminer le type de croissance	Selon classification visuelle par catŽgories	R6, R7	IBPGR 1982, CIAT 1985, CIAT 1995, Base de donnŽes PRG 2012		CO_335:0000149	CatŽgorique						5 catŽgories (1 -5)	1= Arbustive dŽterminŽe	2= Arbustive indŽterminŽe, avec la tige et les branches ŽrigŽes	3= Arbustive indŽterminŽe, avec la tige et les branches faibles et rampantes	4= IndŽterminŽe volubile, avec la tige et les branches faibles, longues et incurvŽes	5=DŽterminŽe volubile									
	default	Gloria Mosquera	CIAT	EN	03/04/12	Haricot commun	T‰che Angulaire foliaire dans le terrain 	ALSF	Phaeoisariopsis griseola, Isariopsis griseola	CO_335:0000002	RŽaction ˆ la maladie  causŽe sur les feuilles par Phaeoisariopsis griseola dans le terrain	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000156	MŽthode pour dŽterminer la t‰che angulaire foliaire dans le terrain 	Quantification du dŽveloppement des sympt™mes, Floraison (R6).	R6	CIAT 1987		CO_335:0000157	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de quelques petites lŽsions non sporulantes recouvrant environ le 2% de la surface foliaire	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=PrŽsence de plusieurs petites lŽsions avec sporulation limitŽe, couvrant environ le 5% de la surface foliaire	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7=Des lŽsions sporulantes et  abondantes, gŽnŽralement grandes, couvrant environ le 10% de la surface  foliaire. Sur le feuillage les lŽsions peuvent se  fusionner en  produisant des zones  infestŽes plus grandes associŽes au tissu chlorotique. Les lŽsions peuvent aussi se trouver sur la tige et les branches	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	 9= Des grandes lŽsions  sporulantes ayant la tendance ˆ se fusionner recouvrent le 25% ou plus de la surface foliaire. Les tissus foliaires sont chlorotiques  ce qui provoquent une dŽfoliation intense et prŽmaturŽe. De nombreuses lŽsions sporulantes  sont aussi observŽes sur la tige et sur les branches					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	T‰che Angulaire foliaire en serre	ALSG	Phaeoisariopsis griseola, Isariopsis griseola	CO_335:0000004	RŽaction ˆ la maladie  causŽe par Phaeoisariopsis griseola sur les feuilles en serre	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000158	MŽthode pour dŽterminer la t‰che angulaire foliaire en serre	Quantification du dŽveloppement des sympt™mes, Premire feuille trifoliŽe (V3).	V3	CIAT 1987		CO_335:0000159	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de quelques petites lŽsions non sporulantes recouvrant environ le 2% de la surface foliaire	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=PrŽsence de plusieurs petites lŽsions avec sporulation limitŽe, couvrant environ le 5% de la surface foliaire	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7= LŽsions sporulantes et  abondantes, gŽnŽralement grandes, couvrant environ le  10% de la surface  foliaire. Sur le feuillage les lŽsions peuvent se  fusionner en produisant des zones  infestŽes plus grandes associŽes au tissu chlorotique. Les lŽsions peuvent aussi se trouver sur la tige et les branches	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	 9= Des grandes lŽsions  sporulantes ayant la tendance ˆ se fusionner recouvrent le 25% ou plus de la surface foliaire. Les tissus foliaires sont  chlorotiques  ce qui provoquent une dŽfoliation intense et prŽmaturŽe. De nombreuses lŽsions sporulantes  sont aussi observŽes sur la tige et sur les branches					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	T‰che Angulaire foliaire en gousses dans le terrain	ALSFP	Phaeoisariopsis griseola, Isariopsis griseola	CO_335:0000003	RŽaction ˆ la maladie  causŽe par Phaeoisariopsis griseola en gousses  dans le terrain	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000160	MŽthode pour dŽterminer la t‰che angulaire foliaire en gousses dans le terrain	Quantification du dŽveloppement des sympt™mes pendant le remplissage des gousses (R8).	R8	CIAT 1987, CIAT Pathologie du Haricot 2012 (communication personnelle)		CO_335:0000161	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de quelques petites lŽsions non sporulantes recouvrant environ le 2% de la surface des gousses 	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=PrŽsence de plusieurs petites lŽsions avec sporulation  limitŽe, couvrant environ le 5% de la surface des gousses.	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7= LŽsions sporulantes et  abondantes, gŽnŽralement grandes, couvrant environ du 10% au 20% de la surface des gousses	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9= Le 50% de la surface des gousses est couvert par des grandes lŽsions sporulantes qui se fusionnent. Les gousses infectŽes sont souvent dŽformŽes, ratatinŽes et contiennent peu de graines					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	Anthracnose sur les feuilles  dans le terrain	ANTFL	Colletotrichum lindemuthianum	CO_335:0000006	RŽaction ˆ la maladie causŽe par Colletotrichum lindemuthianum sur les  feuilles dans le terrain	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000162	MŽthode pour dŽterminer l'anthracnose sur les feuilles  dans le terrain	Quantification du dŽveloppement des sympt™mes des feuilles, Floraison (R6).	R6	CIAT 1987		CO_335:0000163	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de quelques petites lŽsions  gŽnŽralement sur la veine primaire de la face infŽrieure de la feuille recouvrant environ le 1% de la surface foliaire	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=PrŽsence de quelques petites lŽsions   sur les veines primaires et secondaires de la face infŽrieure de la feuille recouvrant environ le 5% de la surface foliaire	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7= PrŽsence de grandes et nombreuses lŽsions sur la surface infŽrieure de la feuille. Des lŽsions nŽcrotiques peuvent aussi tre observŽes sur la face supŽrieure et sur les pŽtioles couvrant environ le 10% de la surface foliaire	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9= NŽcrose sŽvre sur le 25% ou plus du tissu foliaire. Des lŽsions sur les tiges, les pŽtioles, les branches et mme sur le bourgeon de croissance. Cette nŽcrose cause souvent la mort de la plupart des tissus de la plante					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	Anthracnose sur les feuilles  en serre	ANTGL	Colletotrichum lindemuthianum	CO_335:0000008	RŽaction ˆ la maladie causŽe par Colletotrichum lindemuthianum sur la  feuille primaire en serre	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000164	MŽthode pour dŽterminer l'anthracnose sur les feuilles  en serre	Quantification du dŽveloppement des sympt™mes des feuilles primaires (V2)	V2	CIAT 1987		CO_335:0000165	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de quelques petites lŽsions  gŽnŽralement sur la veine primaire de la face infŽrieure de la feuille recouvrant environ le 1% de la surface foliaire	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=PrŽsence de quelques petites lŽsions   sur les veines primaires et secondaires de la face infŽrieure de la feuille recouvrant environ le 5% de la surface foliaire	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7= PrŽsence de grandes et nombreuses lŽsions sur la surface infŽrieure de la feuille. Des lŽsions nŽcrotiques peuvent aussi tre observŽes sur la face supŽrieure et sur les pŽtioles couvrant environ le 10% de la surface foliaire	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9= NŽcrose sŽvre sur le 25% ou plus du tissu foliaire. Des lŽsions sur les tiges, les pŽtioles, les branches et mme sur le bourgeon de croissance. Cette nŽcrose cause souvent la mort de la plupart des tissus de la plante					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	Anthracnose sur les gousses dans le terrain	ANTFP	Colletotrichum lindemuthianum	CO_335:0000007	RŽaction ˆ la maladie causŽe par Colletotrichum lindemuthianum sur les gousses dans le terrain 	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000166	MŽthode pour dŽterminer l'anthracnose sur les gousses dans le terrain	Quantification du dŽveloppement des sympt™mes des gousses. Formation des gousses (R7), Remplissage des gousses (R8)	R7, R8	CIAT 1987, CIAT Pathologie du Haricot 2012 (communication personnelle)		CO_335:0000167	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de  trs peu de  petites lŽsions recouvrant environ le 1% de la surface de la gousse	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=PrŽsence de plusieurs petites lŽsions  rondes (moins de 2mm de diamtre)  peu sporulantes recouvrant environ le 5% de la surface de la gousse	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7= PrŽsence de  lŽsions de taille moyenne(plus de 2mm de diamtre). On observe aussi des petites et grandes lŽsions sporulantes couvrant environ entre le 10% et 20% de la surface des gousses.	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9= PrŽsence de nombreux et grands chancres sporulants couvrant le 50% de la surface de la gousse. Ceux-ci  peuvent  causer des malformations et la  mort des gousses					
	default	Gloria Mosquera	CIAT	FR	15/09/10	Haricot commun	Mouche de la tige du haricot	BSM	Ophiomyia spp, Bean Fly	CO_335:0000011	RŽaction ˆ Ophiomyia spp	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000168	MŽthode pour dŽterminer la mouche de la tige du haricot	MesurŽ en Žchelle de 1 ˆ 9. ƒvaluation de la troisime feuille trifoliŽe (V4)	V4	CIAT 1987, Beebe 2012 (communication personnelle)		CO_335:0000169	CatŽgorique						1 ˆ 9	1= Les plantes infestŽes sont aussi vigoureuses que les non infestŽes. La Mouche du haricot apparemment ne provoque pas de dŽg‰ts	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3= Les plantes infestŽes ont un petit retard de croissance	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5= Les plantes infestŽes ont  retard de croissance significatif.	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7= Les plantes infestŽes ont  un sŽvre retard de croissance.	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9=  Les plantes infestŽes sont mortes ou presque mortes.					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	BactŽriose commune sur les  feuilles dans le terrain	CBBFL	Xanthomonas axonopodis pv. phaseoli	CO_335:0000013	RŽaction ˆ la maladie causŽe par Axonopodis  sur les feuilles dans le terrain 	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000170	MŽthode pour dŽterminer la bactŽriose commune sur les  feuilles dans le terrain	Quantification du dŽveloppement des sympt™mes, Floraison (R6).	R6	CIAT 1987, Duncan 2011		CO_335:0000171	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de  trs peu de  petites lŽsions recouvrant environ le 2% de la surface  foliaire	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=Environ le 5%  de la surface foliaire est couverte pas  des petites  lŽsions qui commencent ˆ se  fusionner. Celles-ci  sont parfois entourŽes de halos jaunes  avec des sympt™mes peu visibles.	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7=Environ le  10%  de la surface foliaire est couverte par des lŽsions  moyennes et grandes gŽnŽralement accompagnŽes  de halos jaunes et de nŽcrose.	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9=Plus du 25 %  de la surface foliaire est couverte pas  de grandes  lŽsions gŽnŽralement nŽcrotiques qui  se  fusionnent ce qui entra”ne la dŽfoliation de la plante					
	default	Gloria Mosquera	CIAT	FR	03/04/12	Haricot commun	BactŽriose commune sur les  feuilles en serre	CBBGL	Xanthomonas axonopodis pv. phaseoli	CO_335:0000015	RŽaction ˆ la maladie causŽe par Axonopodis  sur les feuilles en serre	SŽlection dans l'amŽliorement	Stress biotique	CO_335:0000172	MŽthode pour dŽterminer la bactŽriose commune sur les  feuilles en serre	Quantification du dŽveloppement des sympt™mes sur la premire feuille trifoliŽe (V3)	V3	CIAT 1987, Duncan 2011		CO_335:0000173	CatŽgorique						1 ˆ 9	1= Sans sympt™mes visibles de la maladie	2= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	3=PrŽsence de  trs peu de  petites lŽsions recouvrant environ le 2% de la surface  foliaire	4= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	5=Environ le 5%  de la surface foliaire est couverte pas  des petites  lŽsions qui commencent ˆ se  fusionner. Celles-ci  sont parfois entourŽes de halos jaunes  avec des sympt™mes peu visibles.	6= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	7=Environ le  10%  de la surface foliaire est couverte par des lŽsions  moyennes et grandes gŽnŽralement accompagnŽes  de halos jaunes et de nŽcrose.	8= Les valeurs intermŽdiaires non spŽcifiŽes correspondent aux pourcentages intermŽdiaires des surfaces affectŽes.	9=Plus du 25 %  de la surface foliaire est couverte pas  de grandes  lŽsions gŽnŽralement nŽcrotiques qui  se  fusionnent ce qui entra”ne la dŽfoliation de la plante					
